TicketNumber,Longitude,Latitude,Zipcode,Classification,DateReported,CensusTract,CensusBlock,CountyName,Date,Time,Hour
WL19010513,41.03575,-73.86528,10533,M,09/08/2019 05:26 PM,113,4015,Westchester County,09/08/2019,05:26 PM,05 PM
WL19010588,41.03575,-73.86528,10533,M,09/10/2019 10:57 AM,113,4015,Westchester County,09/10/2019,10:57 AM,10 AM
WL19010622,41.0264,-73.78412,10606,M,09/11/2019 08:13 AM,91,2003,Westchester County,09/11/2019,08:13 AM,08 AM
WL19010625,40.9441,-73.74502,10543,M,09/11/2019 10:28 AM,72,5009,Westchester County,09/11/2019,10:28 AM,10 AM
WL19010997,40.96053,-73.68665,10580,M,09/19/2019 10:31 AM,76,3007,Westchester County,09/19/2019,10:31 AM,10 AM
WL19011060,40.94103,-73.82635,10708,M,09/20/2019 10:50 AM,47,2030,Westchester County,09/20/2019,10:50 AM,10 AM
WL19011075,40.98416,-73.88071,10706,M,09/20/2019 01:09 PM,103,2005,Westchester County,09/20/2019,01:09 PM,01 PM
WL19011272,41.13798,-73.85739,10510,M,09/25/2019 02:49 PM,132.01,2016,Westchester County,09/25/2019,02:49 PM,02 PM
WL19011352,41.16382,-73.77702,10514,M,09/27/2019 11:17 AM,131.04,3021,Westchester County,09/27/2019,11:17 AM,11 AM
WL19011381,41.06503,-73.85259,10591,M,09/27/2019 02:44 PM,114.01,2002,Westchester County,09/27/2019,02:44 PM,02 PM
WL19011463,40.91451,-73.89688,10705,M,09/29/2019 09:54 AM,13.05,4002,Westchester County,09/29/2019,09:54 AM,09 AM
WL19011595,40.93615,-73.79246,10804,M,10/02/2019 01:18 PM,67,3043,Westchester County,10/02/2019,01:18 PM,01 PM
WL19011667,41.00832,-73.69052,10573,M,10/04/2019 11:20 AM,83.02,4030,Westchester County,10/04/2019,11:20 AM,11 AM
WL19011719,41.04609,-73.78983,10603,M,10/05/2019 01:23 PM,109.02,4025,Westchester County,10/05/2019,01:23 PM,01 PM
WL19011912,40.96384,-73.80527,10709,M,10/10/2019 03:34 PM,50.02,3013,Westchester County,10/10/2019,03:34 PM,03 PM
WL19012048,41.1662,-73.77858,10514,M,10/13/2019 06:02 PM,131.04,3021,Westchester County,10/13/2019,06:02 PM,06 PM
WL19012163,40.91132,-73.88899,10705,M,10/15/2019 06:05 PM,13.02,3000,Westchester County,10/15/2019,06:05 PM,06 PM
WL19012182,40.93436,-73.84828,10708,M,10/16/2019 10:35 AM,22.04,3010,Westchester County,10/16/2019,10:35 AM,10 AM
WL19012288,41.01797,-73.75686,10605,M,10/18/2019 01:57 PM,97.02,1003,Westchester County,10/18/2019,01:57 PM,01 PM
WL19012578,41.03174,-73.68545,10573,M,10/24/2019 02:24 PM,83.02,3028,Westchester County,10/24/2019,02:24 PM,02 PM
WL19012606,41.02704,-73.68682,10573,M,10/25/2019 11:10 AM,83.02,2001,Westchester County,10/25/2019,11:10 AM,11 AM
WL19012629,40.96669,-73.77363,10804,M,10/25/2019 03:33 PM,68.02,2001,Westchester County,10/25/2019,03:33 PM,03 PM
WL19012658,40.90537,-73.81209,10803,M,10/26/2019 02:33 PM,54,2025,Westchester County,10/26/2019,02:33 PM,02 PM
WL19012684,40.92349,-73.83197,10552,M,10/27/2019 02:15 PM,39,1010,Westchester County,10/27/2019,02:15 PM,02 PM
WL19012716,41.00829,-73.78643,10583,M,10/28/2019 11:00 AM,100,3008,Westchester County,10/28/2019,11:00 AM,11 AM
WL19012864,41.021,-73.69033,10573,M,10/30/2019 05:36 PM,83.02,4003,Westchester County,10/30/2019,05:36 PM,05 PM
WL19012922,40.93926,-73.77171,10804,M,11/01/2019 12:32 PM,67,2003,Westchester County,11/01/2019,12:32 PM,12 PM
WL19012951,40.93742,-73.83189,10708,M,11/02/2019 09:40 AM,46,3000,Westchester County,11/02/2019,09:40 AM,09 AM
WL19012982,40.99278,-73.80303,10583,M,11/02/2019 08:12 PM,100,4035,Westchester County,11/02/2019,08:12 PM,08 PM
WL19013082,40.93701,-73.7936,10804,M,11/05/2019 09:03 AM,66,1004,Westchester County,11/05/2019,09:03 AM,09 AM
WL19013103,41.00294,-73.66641,10573,M,11/05/2019 11:50 AM,80,3009,Westchester County,11/05/2019,11:50 AM,11 AM
WL19013114,41.06397,-73.83531,10591,M,11/05/2019 01:28 PM,111.01,1009,Westchester County,11/05/2019,01:28 PM,01 PM
WL19013187,41.00698,-73.78679,10583,M,11/06/2019 04:12 PM,100,3011,Westchester County,11/06/2019,04:12 PM,04 PM
WL19013199,40.96404,-73.79602,10804,M,11/06/2019 08:02 PM,68.01,3042,Westchester County,11/06/2019,08:02 PM,08 PM
WL19013256,41.30063,-73.7931,10598,M,11/08/2019 08:46 AM,148.11,3012,Westchester County,11/08/2019,08:46 AM,08 AM
WL19013329,40.93,-73.83491,10552,M,11/09/2019 01:47 PM,45,1001,Westchester County,11/09/2019,01:47 PM,01 PM
WL19013352,40.94836,-73.76624,10538,M,11/10/2019 04:33 PM,70,4002,Westchester County,11/10/2019,04:33 PM,04 PM
WL19013381,40.98076,-73.82313,10583,M,11/11/2019 12:22 PM,21.05,1006,Westchester County,11/11/2019,12:22 PM,12 PM
WL19013386,40.92811,-73.81738,10552,M,11/11/2019 12:47 PM,151,1004,Westchester County,11/11/2019,12:47 PM,12 PM
WL19013475,40.96344,-73.77793,10804,M,11/13/2019 12:56 PM,68.02,2015,Westchester County,11/13/2019,12:56 PM,12 PM
WL19013545,40.94275,-73.7558,10538,M,11/14/2019 02:02 PM,69,3036,Westchester County,11/14/2019,02:02 PM,02 PM
